title,content,rating,date
TOTAL WASTE OF TIME!,"TOTAL WASTE OF TIME!! My startup was urgently needing a business bank account and the RBS offer of 2 years fee free banking popped up. I went through the lengthy process of applying, both myself and the other director provided all details for AML checks. I heard nothing for 10 days so call them and am informed that the application has been cancelled as I am not based in Scotland and instead would have to apply for a Natwest account which takes 3 - 4 weeks! Why no communication in the last 10 days and why did the website allow me to even submit the application and then ask for documents to be sent to them?? These people seems to be utterly incompetent and lacking in basic common sense... horrible experience! Steer clear of Natwest and RBS if you want to save yourself a lot of time and headaches.",Rated 1 out of 5 stars,6 days ago
Horrible experience,Horrible experience. Never ever open an account in NatWest. Waste of time. Better to look other options.,Rated 1 out of 5 stars,7 days ago
Don't waste your time...,"Horrific experience applying for a Business bank account.I repeatedly provided the required information for three months, during which time the case handler didn't respond to emails. I don't believe their English was up to the job, as they ignored questions completely.Now I have the account number, and the process to get online banking is another slow, involved process involving board resolutions and dates the Chairperson was voted in etc. We are a 2-person, 50/50 Ltd company. There is no option for this,I would advise, in the strongest terms, against wasting your time getting a Natwest account.We were happy with Revolut however we couldn't use that type of account for certain purposes, namely inbound payments from Klarna.Natwest really need to get into the Digital age.",Rated 1 out of 5 stars,20 Sept 2024
DO NOT OPEN A BUSINESS ACCOUNT WITH…,DO NOT OPEN A BUSINESS ACCOUNT WITH THIS COWBOYS THEY WILL FREEZE AND UNFREEZE YOUR ACCOUNT EVER OTHER WEEKMONEY NOT SAFE WITH THIS CLOWNS 🤡,Rated 1 out of 5 stars,24 Sept 2024
NatWest Incompetence,"A credit card was cancelled because of suspicious activity on it. A replacement card was quickly sent.However - the details of the new card never appeared on my online banking accounts so was unable to view any activity on the account.Despite spending over 6 weeks trying to get the problem solved using phone calls to various departments and using the useles Cora ""Bot"" system - I still haven't got the card & online  account details activated.  I am unable to know when I need to make payment of account balance by due dates etc - incurring charges no doubt.I don't know if it will ever be resolved !",Rated 1 out of 5 stars,19 Aug 2024
Tetiana and Sergei,"My name is Sergey and I'll explain about my girlfriend's experience. Her name is Tetiana. She's very upset because of the very poor and subjective phone customer service! NatWest blocked her mobile app which is fair enough, and then the poor customer service began. I helped her to do everything correctly, including face and passport verification, but it was a great loss of time and hopes. The worst person called Michael, from 08001615165, decided that she must go to the local office and wrote that in her case records. Then every single attempt to unblock the mobile app was with the answer to go to the local office. Consequences are that she will loose 5 hours working time which costs her £60. Who's going to compensate her? It must be NatWest or that person called Michael! We're now considering which bank to choose and leave that poorly NatWest which most probably will bankrupt at the end of the day. Runaway guys?",Rated 1 out of 5 stars,1 Sept 2024
We have been trying to set up an online…,"We have been trying to set up an online banking account for a new business for around a month. The 5 partners have to complete their section in an email chain.  We are STILL trying and keep getting refused . Every time a 'mistake' is highlighted ( we are waiting to see what the latest is as the call handler can't find an issue), the entire email chain has to start again. Utterly ridiculous. We have invoices to pay and are being constantly delayed by a ridiculous automated system.",Rated 1 out of 5 stars,25 Jul 2024
Frustrating,"My case handler Jasdeep Garcha at NatWest business was phenomenal.  She was efficient, thorough and extremely helpful.They do need to make some serious changes to the process though as it takes so long to actually be able to start using the account.Step 1 applyStep 2 case handler assignedStep 3 account opened and SC and account number issued - mine was quite quick but was warned it could take 2 weeksStep 4 sign up online banking and then wait for days Step 5 receive activation code by text if you are luckyStep 6 receive customer number by post - yes really postThen you can actually log in to online banking but hold on, you cannot actually withdraw any money because you then need to order a card reader which is.......step 7!No wonder people are fed up as per the reviews below.Come on NatWest, it is 2024!",Rated 3 out of 5 stars,28 Feb 2024
Is there anybody there?,Are there any humans left at NatWest? I’ve noticed something I need to speak to someone about. It cannot be resolved via ‘Cora’ but after 25 minutes of chat and WhatsApp I realise no humans are available to speak to anymore. Can’t even log a complaint. Shockingly bad. Such a pity because my account normally runs along quite nicely.,Rated 1 out of 5 stars,23 Jul 2024
Trying to open a business account,"Trying to open a business account, been on the chat function and phone trying to work out what documents they are waiting for, only to be told they have everything. I have been a personal account customer for 37 years, don’t think I will be much longer.",Rated 1 out of 5 stars,1 Aug 2024
